trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
retry__cascading_failure__07,retry,cascading_failure,7,2026-07-08T16:35:06.249800+00:00,2026-07-08T16:41:26.134519+00:00,ok,,783.0,781.0,2.0,0.0025542784163473,21765.0,23999.0,25813.0,20814.0,2.22,,0.0737527114967462,217055232.0,0.0061003330047242,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708163532529
retry__cascading_failure__08,retry,cascading_failure,8,2026-07-08T16:41:36.142756+00:00,2026-07-08T16:47:45.821119+00:00,ok,,780.0,779.0,1.0,0.0012820512820512,21950.0,23840.0,25797.0,20876.0,2.22,,0.0235383447228549,216006656.0,0.0569326250115409,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708164152118
retry__cascading_failure__09,retry,cascading_failure,9,2026-07-08T16:47:55.839024+00:00,2026-07-08T16:54:14.727774+00:00,ok,,788.0,788.0,0.0,0.0,21745.0,23586.0,25403.0,20699.0,2.24,,0.0583439490445859,217055232.0,0.0300437090045306,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708164819632
retry__cascading_failure__10,retry,cascading_failure,10,2026-07-08T16:54:24.740250+00:00,2026-07-08T17:00:33.210262+00:00,ok,,793.0,792.0,1.0,0.0012610340479192,21639.0,23375.0,25032.0,20521.0,2.25,,0.0392703318976437,214958080.0,0.0093617080128751,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708165440413
retry__cascading_failure__11,retry,cascading_failure,11,2026-07-08T17:00:43.213883+00:00,2026-07-08T17:07:00.975179+00:00,ok,,786.0,785.0,1.0,0.0012722646310432,21841.0,23464.0,25363.0,20726.0,2.23,,0.0179349218549833,212860928.0,0.0476480000070296,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708170105752
retry__cascading_failure__12,retry,cascading_failure,12,2026-07-08T17:07:10.981462+00:00,2026-07-08T17:13:21.772721+00:00,ok,,788.0,788.0,0.0,0.0,21774.0,23201.0,24990.0,20701.0,2.23,,0.0152061855670103,217055232.0,0.0759132500097621,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708170727351
retry__cascading_failure__13,retry,cascading_failure,13,2026-07-08T17:13:31.786167+00:00,2026-07-08T17:19:47.993197+00:00,ok,,778.0,778.0,0.0,0.0,21950.0,23614.0,25249.0,20943.0,2.2,,0.0368937816126152,213909504.0,0.0060614589892793,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708171354043
retry__cascading_failure__14,retry,cascading_failure,14,2026-07-08T17:19:58.002443+00:00,2026-07-08T17:26:08.605059+00:00,ok,,791.0,791.0,0.0,0.0,21733.0,23055.0,24754.0,20640.0,2.24,,0.0227330133872189,216006656.0,0.0340547499945387,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708172013350
retry__cascading_failure__15,retry,cascading_failure,15,2026-07-08T17:26:18.630718+00:00,2026-07-08T17:32:44.692159+00:00,ok,,775.0,775.0,0.0,0.0,22095.0,24149.0,26241.0,21061.0,2.19,,0.0692051979449984,214958080.0,0.0655569999944418,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708172648064
retry__cascading_failure__16,retry,cascading_failure,16,2026-07-08T17:32:54.707494+00:00,2026-07-08T17:39:13.143864+00:00,ok,,791.0,791.0,0.0,0.0,21759.0,22903.0,23990.0,20641.0,2.24,,0.0223918575063613,217055224.0,0.0061444160237442,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708173318872
