trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
none__latency_injection__01,none,latency_injection,1,2026-07-02T00:05:19.902646+00:00,2026-07-02T00:11:16.185789+00:00,ok,,803,795,8,0.009962640099626401,21465.0,22510.0,22818.0,20269.0,2.28,,0.049936948297604034,240123904.0,0.010307334014214575,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702000523786
none__latency_injection__02,none,latency_injection,2,2026-07-02T00:11:26.192976+00:00,2026-07-02T00:17:22.610967+00:00,ok,,806,804,2,0.0024813895781637717,21394.0,22375.0,22753.0,20236.0,2.29,,0.016574585635359115,235929600.0,0.009848959045484662,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702001130345
none__latency_injection__03,none,latency_injection,3,2026-07-02T00:17:32.618034+00:00,2026-07-02T00:23:29.821966+00:00,ok,,806,803,3,0.0037220843672456576,21459.0,22496.0,22751.0,20234.0,2.29,,0.009786700125470515,234881024.0,0.006085125030949712,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702001736800
none__latency_injection__04,none,latency_injection,4,2026-07-02T00:23:39.823523+00:00,2026-07-02T00:29:38.003465+00:00,ok,,808,800,8,0.009900990099009901,21365.0,22402.0,22899.0,20144.0,2.3,,0.0186538946307033,236978176.0,0.009571208036504686,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702002345830
none__latency_injection__05,none,latency_injection,5,2026-07-02T00:29:48.010656+00:00,2026-07-02T00:35:43.844569+00:00,ok,,804,796,8,0.009950248756218905,21411.0,22312.0,22742.0,20227.0,2.29,,0.010062893081761006,234881024.0,0.010700959013774991,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702002951998
none__latency_injection__06,none,latency_injection,6,2026-07-02T00:35:53.851566+00:00,2026-07-02T00:41:54.976346+00:00,ok,,807,794,13,0.0161090458488228,21425.0,22373.0,22851.0,20190.0,2.29,,0.12154453707766565,235929600.0,0.0182526659918949,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702003602221
none__latency_injection__07,none,latency_injection,7,2026-07-02T00:42:04.985248+00:00,2026-07-02T00:48:04.708529+00:00,ok,,808,785,23,0.028465346534653466,21333.0,22889.0,24698.0,20212.0,2.3,,0.48005319148936165,236978176.0,0.013007791014388204,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702004210795
none__latency_injection__08,none,latency_injection,8,2026-07-02T00:48:14.717037+00:00,2026-07-02T00:54:17.857479+00:00,ok,,809,799,10,0.012360939431396786,21349.0,22465.0,22888.0,20146.0,2.3,,0.023881347410759177,236978176.0,0.010078791994601488,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702004825402
none__latency_injection__09,none,latency_injection,9,2026-07-02T00:54:27.865139+00:00,2026-07-02T01:00:29.116354+00:00,ok,,803,798,5,0.0062266500622665,21487.0,22506.0,22833.0,20298.0,2.27,,0.022847100175746926,235929600.0,0.00676408305298537,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702005435373
none__latency_injection__10,none,latency_injection,10,2026-07-02T01:00:39.123307+00:00,2026-07-02T01:06:38.536223+00:00,ok,,803,798,5,0.0062266500622665,21512.0,22520.0,22845.0,20280.0,2.28,,0.021379485874268262,238026752.0,0.01773808302823454,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702010045514
none__latency_injection__11,none,latency_injection,11,2026-07-02T01:06:48.545121+00:00,2026-07-02T01:12:56.468010+00:00,ok,,806,795,11,0.013647642679900745,21446.0,22357.0,22686.0,20214.0,2.3,,0.020526315789473684,235929600.0,0.008302249945700169,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702010703945
none__latency_injection__12,none,latency_injection,12,2026-07-02T01:13:06.480526+00:00,2026-07-02T01:19:02.920446+00:00,ok,,804,797,7,0.008706467661691543,21401.0,22516.0,22928.0,20236.0,2.3,,0.015292053146151917,233832448.0,0.012495500035583973,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702011311995
none__latency_injection__13,none,latency_injection,13,2026-07-02T01:19:12.923794+00:00,2026-07-02T01:25:13.150887+00:00,ok,,809,799,10,0.012360939431396786,21308.0,22375.0,22762.0,20127.0,2.29,,0.05769715293524817,236978176.0,0.007880000048317015,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702011919445
none__latency_injection__14,none,latency_injection,14,2026-07-02T01:25:23.157616+00:00,2026-07-02T01:31:26.501708+00:00,ok,,805,799,6,0.007453416149068323,21449.0,22406.0,22853.0,20264.0,2.29,,0.019968051118210862,236978176.0,0.013868459034711123,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702012533647
none__latency_injection__15,none,latency_injection,15,2026-07-02T01:31:36.514024+00:00,2026-07-02T01:37:39.739234+00:00,ok,,814,801,13,0.01597051597051597,21200.0,22329.0,22791.0,20046.0,2.31,,0.040826612903225805,238026752.0,0.010106957983225584,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702013145681
none__latency_injection__16,none,latency_injection,16,2026-07-02T01:37:49.738355+00:00,2026-07-02T01:43:51.872201+00:00,ok,,810,792,18,0.022222222222222223,21324.0,22363.0,22776.0,20136.0,2.3,,0.03125,238026752.0,0.016761207953095436,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702013756052
none__latency_injection__17,none,latency_injection,17,2026-07-02T01:44:01.880419+00:00,2026-07-02T01:50:00.813419+00:00,ok,,808,802,6,0.007425742574257425,21354.0,22336.0,22661.0,20161.0,2.3,,0.025150905432595575,234881024.0,0.019898333004675806,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702014407420
none__latency_injection__18,none,latency_injection,18,2026-07-02T01:50:10.823515+00:00,2026-07-02T01:56:10.438701+00:00,ok,,809,805,4,0.004944375772558714,21381.0,22389.0,22974.0,20185.0,2.29,,0.007792860734037205,235929600.0,0.008696374949067831,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702015016994
none__latency_injection__19,none,latency_injection,19,2026-07-02T01:56:20.447112+00:00,2026-07-02T02:02:21.419633+00:00,ok,,806,801,5,0.00620347394540943,21423.0,22326.0,22715.0,20219.0,2.28,,0.03680823680823681,238026752.0,0.22385545796714723,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702015626513
none__latency_injection__20,none,latency_injection,20,2026-07-02T02:02:31.427547+00:00,2026-07-02T02:08:29.917332+00:00,ok,,807,797,10,0.012391573729863693,21382.0,22430.0,22994.0,20180.0,2.29,,0.010806735360643378,235929600.0,0.009645166923291981,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702020236910
none__partial_failure__01,none,partial_failure,1,2026-07-02T02:08:39.923798+00:00,2026-07-02T02:14:27.989414+00:00,ok,,1551,1519,32,0.020631850419084462,10802.0,11433.0,11672.0,10331.0,4.55,,0.022412490556534877,235929600.0,0.007669375045225024,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702020846140
none__partial_failure__02,none,partial_failure,2,2026-07-02T02:14:37.996183+00:00,2026-07-02T02:20:33.884944+00:00,ok,,1554,1525,29,0.01866151866151866,10796.0,11460.0,11650.0,10311.0,4.54,,0.02593278645144218,233832448.0,0.020963249960914254,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702021449893
none__partial_failure__03,none,partial_failure,3,2026-07-02T02:20:43.899595+00:00,2026-07-02T02:26:35.842640+00:00,ok,,1558,1539,19,0.012195121951219513,10769.0,11395.0,11615.0,10289.0,4.57,,0.02644170234197935,239075328.0,0.014436625060625374,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702022052902
none__partial_failure__04,none,partial_failure,4,2026-07-02T02:26:45.850466+00:00,2026-07-02T02:32:35.322414+00:00,ok,,1549,1526,23,0.014848289218850872,10835.0,11497.0,11716.0,10354.0,4.54,,0.022177419354838707,238026752.0,0.011569833033718169,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702022653037
none__partial_failure__05,none,partial_failure,5,2026-07-02T02:32:45.325135+00:00,2026-07-02T02:38:32.062430+00:00,ok,,1552,1525,27,0.017396907216494846,10755.0,11423.0,11635.0,10313.0,4.56,,0.016145307769929364,236978176.0,0.01018616696819663,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702023250968
none__partial_failure__06,none,partial_failure,6,2026-07-02T02:38:42.070138+00:00,2026-07-02T02:44:31.901013+00:00,ok,,1550,1505,45,0.02903225806451613,10832.0,11425.0,11629.0,10332.0,4.55,,0.010809451985922574,236978176.0,0.009286792017519474,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702023850374
none__partial_failure__07,none,partial_failure,7,2026-07-02T02:44:41.913485+00:00,2026-07-02T02:50:28.549260+00:00,ok,,1557,1521,36,0.023121387283236993,10775.0,11418.0,11644.0,10298.0,4.55,,0.017094017094017096,236978176.0,0.00734075007494539,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702024446536
none__partial_failure__08,none,partial_failure,8,2026-07-02T02:50:38.562428+00:00,2026-07-02T02:56:24.424650+00:00,ok,,1556,1529,27,0.017352185089974295,10776.0,11396.0,11637.0,10302.0,4.56,,0.020146058927222363,238026752.0,0.007673042011447251,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702025042536
none__partial_failure__09,none,partial_failure,9,2026-07-02T02:56:34.431338+00:00,2026-07-02T03:02:20.646868+00:00,ok,,1522,1462,60,0.03942181340341656,10864.0,12863.0,14149.0,10540.0,4.45,0.5294117647058824,0.18635170603674542,231735296.0,0.007243665982969105,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702025638309
none__partial_failure__10,none,partial_failure,10,2026-07-02T03:02:30.651739+00:00,2026-07-02T03:08:16.900982+00:00,ok,,1549,1517,32,0.02065848934796643,10842.0,11426.0,11684.0,10350.0,4.54,,0.00982367758186398,239075328.0,0.00671224994584918,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702030235031
none__partial_failure__11,none,partial_failure,11,2026-07-02T03:08:26.912836+00:00,2026-07-02T03:14:12.384499+00:00,ok,,1551,1508,43,0.027724049000644745,10805.0,11458.0,11636.0,10342.0,4.55,,0.016084443327469212,238026752.0,0.008901291992515326,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702030830389
none__partial_failure__12,none,partial_failure,12,2026-07-02T03:14:22.396580+00:00,2026-07-02T03:20:07.873896+00:00,ok,,1547,1514,33,0.021331609566903685,10852.0,11462.0,11693.0,10363.0,4.54,,0.013581488933601608,234881024.0,0.006447791936807334,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702031425971
none__partial_failure__13,none,partial_failure,13,2026-07-02T03:20:17.883020+00:00,2026-07-02T03:26:04.129356+00:00,ok,,1543,1508,35,0.02268308489954634,10893.0,11493.0,11718.0,10393.0,4.51,,0.019667170953101363,236978176.0,0.006920417072251439,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702032022187
none__partial_failure__14,none,partial_failure,14,2026-07-02T03:26:14.138111+00:00,2026-07-02T03:32:00.762658+00:00,ok,,1556,1526,30,0.019280205655526992,10773.0,11385.0,11610.0,10299.0,4.55,,0.018387909319899247,238026752.0,0.005013250047340989,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702032618830
none__partial_failure__15,none,partial_failure,15,2026-07-02T03:32:10.774897+00:00,2026-07-02T03:37:56.043395+00:00,ok,,1543,1516,27,0.017498379779650033,10884.0,11470.0,11667.0,10377.0,4.52,,0.0121580547112462,238026752.0,0.0069792920257896185,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260702033214503
